Job started on u040233.si.ehu.es
Date: Sun May 10 01:53:36 PM CEST 2026
CUDA_VISIBLE_DEVICES=4
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 2.9918, 'grad_norm': 0.31546056270599365, 'learning_rate': 0.00014919699602184414, 'epoch': 0.55}
{'loss': 2.9567, 'grad_norm': 0.30538538098335266, 'learning_rate': 0.0001474433025302505, 'epoch': 0.56}
{'loss': 2.9173, 'grad_norm': 0.2977004647254944, 'learning_rate': 0.0001456705731059971, 'epoch': 0.57}
{'loss': 2.9788, 'grad_norm': 0.3092460036277771, 'learning_rate': 0.0001438795190308907, 'epoch': 0.58}
{'loss': 2.9683, 'grad_norm': 0.29440632462501526, 'learning_rate': 0.00014207085893923677, 'epoch': 0.59}
{'loss': 2.9537, 'grad_norm': 0.31302735209465027, 'learning_rate': 0.000140245318529498, 'epoch': 0.6}
{'loss': 2.9607, 'grad_norm': 0.3161582350730896, 'learning_rate': 0.00013840363027311822, 'epoch': 0.61}
{'loss': 2.9596, 'grad_norm': 0.32912179827690125, 'learning_rate': 0.00013654653312062916, 'epoch': 0.62}
{'loss': 2.9798, 'grad_norm': 0.32198357582092285, 'learning_rate': 0.00013467477220515707, 'epoch': 0.63}
{'loss': 2.9337, 'grad_norm': 0.319543719291687, 'learning_rate': 0.00013278909854344924, 'epoch': 0.64}
{'eval_loss': 2.1640326976776123, 'eval_chrf++': 42.1514, 'eval_runtime': 128.1222, 'eval_samples_per_second': 7.782, 'eval_steps_per_second': 0.976, 'epoch': 0.64}
{'loss': 2.96, 'grad_norm': 0.3315469026565552, 'learning_rate': 0.00013089026873453917, 'epoch': 0.65}
{'loss': 2.9789, 'grad_norm': 0.33369702100753784, 'learning_rate': 0.0001289790446561724, 'epoch': 0.65}
{'loss': 2.9564, 'grad_norm': 0.3471527695655823, 'learning_rate': 0.00012705619315911428, 'epoch': 0.66}
{'loss': 2.9762, 'grad_norm': 0.36903518438339233, 'learning_rate': 0.00012512248575946214, 'epoch': 0.67}
{'loss': 2.984, 'grad_norm': 0.3229096531867981, 'learning_rate': 0.00012317869832908574, 'epoch': 0.68}
{'loss': 2.9615, 'grad_norm': 0.31467148661613464, 'learning_rate': 0.00012122561078432013, 'epoch': 0.69}
{'loss': 2.9585, 'grad_norm': 0.3599947988986969, 'learning_rate': 0.00011926400677303546, 'epoch': 0.7}
{'loss': 2.975, 'grad_norm': 0.35842519998550415, 'learning_rate': 0.00011729467336020972, 'epoch': 0.71}
{'loss': 2.9295, 'grad_norm': 0.30973243713378906, 'learning_rate': 0.00011531840071213052, 'epoch': 0.72}
{'loss': 2.9464, 'grad_norm': 0.34276822209358215, 'learning_rate': 0.00011333598177935231, 'epoch': 0.73}
{'eval_loss': 2.152412176132202, 'eval_chrf++': 43.022, 'eval_runtime': 118.8364, 'eval_samples_per_second': 8.39, 'eval_steps_per_second': 1.052, 'epoch': 0.73}
{'loss': 2.9858, 'grad_norm': 0.3288519084453583, 'learning_rate': 0.0001113482119785366, 'epoch': 0.74}
{'loss': 2.959, 'grad_norm': 0.3328700065612793, 'learning_rate': 0.0001093558888733025, 'epoch': 0.75}
{'loss': 2.9495, 'grad_norm': 0.3558788597583771, 'learning_rate': 0.00010735981185421618, 'epoch': 0.75}
{'loss': 2.9943, 'grad_norm': 0.3581357002258301, 'learning_rate': 0.00010536078181804685, 'epoch': 0.76}
{'loss': 2.9358, 'grad_norm': 0.33489036560058594, 'learning_rate': 0.00010335960084641879, 'epoch': 0.77}
{'loss': 2.9624, 'grad_norm': 0.3181065618991852, 'learning_rate': 0.00010135707188398767, 'epoch': 0.78}
{'loss': 2.9475, 'grad_norm': 0.34554558992385864, 'learning_rate': 9.935399841627085e-05, 'epoch': 0.79}
{'loss': 2.933, 'grad_norm': 0.32888737320899963, 'learning_rate': 9.73511841472605e-05, 'epoch': 0.8}
{'loss': 2.9404, 'grad_norm': 0.3418790102005005, 'learning_rate': 9.53494326769491e-05, 'epoch': 0.81}
{'loss': 2.936, 'grad_norm': 0.3368416428565979, 'learning_rate': 9.334954717889654e-05, 'epoch': 0.82}
{'eval_loss': 2.124786138534546, 'eval_chrf++': 43.5073, 'eval_runtime': 114.8607, 'eval_samples_per_second': 8.68, 'eval_steps_per_second': 1.088, 'epoch': 0.82}
{'loss': 2.9743, 'grad_norm': 0.3462727665901184, 'learning_rate': 9.135233007796873e-05, 'epoch': 0.83}
{'loss': 2.9632, 'grad_norm': 0.35437095165252686, 'learning_rate': 8.935858272837613e-05, 'epoch': 0.84}
{'loss': 2.9196, 'grad_norm': 0.345740407705307, 'learning_rate': 8.736910509214206e-05, 'epoch': 0.84}
{'loss': 2.9338, 'grad_norm': 0.3698013424873352, 'learning_rate': 8.538469541812977e-05, 'epoch': 0.85}
{'loss': 2.9429, 'grad_norm': 0.3424376845359802, 'learning_rate': 8.340614992175656e-05, 'epoch': 0.86}
{'loss': 2.9183, 'grad_norm': 0.30390602350234985, 'learning_rate': 8.143426246552412e-05, 'epoch': 0.87}
{'loss': 2.9497, 'grad_norm': 0.3451707065105438, 'learning_rate': 7.946982424049265e-05, 'epoch': 0.88}
{'loss': 2.9216, 'grad_norm': 0.34190887212753296, 'learning_rate': 7.751362344882708e-05, 'epoch': 0.89}
{'loss': 2.9262, 'grad_norm': 0.3358171284198761, 'learning_rate': 7.55664449875425e-05, 'epoch': 0.9}
{'loss': 2.9146, 'grad_norm': 0.3698975741863251, 'learning_rate': 7.362907013357548e-05, 'epoch': 0.91}
{'eval_loss': 2.1249139308929443, 'eval_chrf++': 42.7862, 'eval_runtime': 116.609, 'eval_samples_per_second': 8.55, 'eval_steps_per_second': 1.072, 'epoch': 0.91}
{'loss': 2.9282, 'grad_norm': 0.35876721143722534, 'learning_rate': 7.17022762303084e-05, 'epoch': 0.92}
{'loss': 2.9233, 'grad_norm': 0.37771376967430115, 'learning_rate': 6.978683637567149e-05, 'epoch': 0.93}
{'loss': 2.9579, 'grad_norm': 0.33864352107048035, 'learning_rate': 6.78835191119488e-05, 'epoch': 0.94}
{'loss': 2.9605, 'grad_norm': 0.3610958158969879, 'learning_rate': 6.599308811741159e-05, 'epoch': 0.94}
{'loss': 3.0013, 'grad_norm': 0.33199918270111084, 'learning_rate': 6.41163018999038e-05, 'epoch': 0.95}
{'loss': 2.8992, 'grad_norm': 0.33967822790145874, 'learning_rate': 6.225391349250176e-05, 'epoch': 0.96}
{'loss': 2.9152, 'grad_norm': 0.3300362527370453, 'learning_rate': 6.040667015137052e-05, 'epoch': 0.97}
{'loss': 2.9387, 'grad_norm': 0.3524039089679718, 'learning_rate': 5.8575313055938466e-05, 'epoch': 0.98}
{'loss': 2.9516, 'grad_norm': 0.36979353427886963, 'learning_rate': 5.67605770115097e-05, 'epoch': 0.99}
{'loss': 2.9623, 'grad_norm': 0.34303009510040283, 'learning_rate': 5.4963190154434254e-05, 'epoch': 1.0}
{'eval_loss': 2.1250810623168945, 'eval_chrf++': 42.5602, 'eval_runtime': 122.8018, 'eval_samples_per_second': 8.119, 'eval_steps_per_second': 1.018, 'epoch': 1.0}
{'loss': 2.9538, 'grad_norm': 0.35484957695007324, 'learning_rate': 5.318387365995399e-05, 'epoch': 1.01}
{'loss': 2.9649, 'grad_norm': 0.3911309540271759, 'learning_rate': 5.14233414528414e-05, 'epoch': 1.02}
{'loss': 2.946, 'grad_norm': 0.37792202830314636, 'learning_rate': 4.9682299920947984e-05, 'epoch': 1.03}
{'loss': 2.9256, 'grad_norm': 0.37503430247306824, 'learning_rate': 4.7961447631776234e-05, 'epoch': 1.04}
{'loss': 2.9292, 'grad_norm': 0.32880139350891113, 'learning_rate': 4.626147505218971e-05, 'epoch': 1.04}
{'loss': 2.9236, 'grad_norm': 0.3641379475593567, 'learning_rate': 4.4583064271373254e-05, 'epoch': 1.05}
{'loss': 2.9364, 'grad_norm': 0.39132845401763916, 'learning_rate': 4.292688872715459e-05, 'epoch': 1.06}
{'loss': 2.9776, 'grad_norm': 0.32427170872688293, 'learning_rate': 4.129361293579741e-05, 'epoch': 1.07}
{'loss': 2.9542, 'grad_norm': 0.38940274715423584, 'learning_rate': 3.9683892225373776e-05, 'epoch': 1.08}
{'loss': 2.889, 'grad_norm': 0.3720687925815582, 'learning_rate': 3.8098372472823316e-05, 'epoch': 1.09}
{'eval_loss': 2.1354806423187256, 'eval_chrf++': 43.2745, 'eval_runtime': 125.4017, 'eval_samples_per_second': 7.95, 'eval_steps_per_second': 0.997, 'epoch': 1.09}
{'loss': 2.9091, 'grad_norm': 0.37960919737815857, 'learning_rate': 3.653768984480457e-05, 'epoch': 1.1}
{'loss': 2.9327, 'grad_norm': 0.3612895607948303, 'learning_rate': 3.5002470542442366e-05, 'epoch': 1.11}
{'loss': 2.9499, 'grad_norm': 0.36115536093711853, 'learning_rate': 3.3493330550073776e-05, 'epoch': 1.12}
{'loss': 2.9121, 'grad_norm': 0.38259387016296387, 'learning_rate': 3.201087538809344e-05, 'epoch': 1.13}
{'loss': 2.9162, 'grad_norm': 0.33940887451171875, 'learning_rate': 3.0555699869997176e-05, 'epoch': 1.14}
{'loss': 2.8785, 'grad_norm': 0.4143618643283844, 'learning_rate': 2.9128387863721975e-05, 'epoch': 1.14}
{'loss': 2.8927, 'grad_norm': 0.35977646708488464, 'learning_rate': 2.772951205737735e-05, 'epoch': 1.15}
{'loss': 2.9286, 'grad_norm': 0.35097837448120117, 'learning_rate': 2.6359633729462695e-05, 'epoch': 1.16}
{'loss': 2.9228, 'grad_norm': 0.3660316467285156, 'learning_rate': 2.5019302523662404e-05, 'epoch': 1.17}
{'loss': 2.9018, 'grad_norm': 0.3475918173789978, 'learning_rate': 2.3709056228309345e-05, 'epoch': 1.18}
{'eval_loss': 2.132221221923828, 'eval_chrf++': 43.3613, 'eval_runtime': 118.9793, 'eval_samples_per_second': 8.38, 'eval_steps_per_second': 1.051, 'epoch': 1.18}
{'loss': 2.9033, 'grad_norm': 0.3680754601955414, 'learning_rate': 2.242942056060524e-05, 'epoch': 1.19}
{'loss': 2.9492, 'grad_norm': 0.3420425057411194, 'learning_rate': 2.1180908955684263e-05, 'epoch': 1.2}
{'loss': 2.9498, 'grad_norm': 0.36779674887657166, 'learning_rate': 1.996402236060465e-05, 'epoch': 1.21}
{'loss': 2.9172, 'grad_norm': 0.3757915198802948, 'learning_rate': 1.8779249033351088e-05, 'epoch': 1.22}
{'loss': 2.9556, 'grad_norm': 0.3809473216533661, 'learning_rate': 1.762706434692818e-05, 'epoch': 1.23}
{'loss': 2.8994, 'grad_norm': 0.34596356749534607, 'learning_rate': 1.6507930598624134e-05, 'epoch': 1.24}
{'loss': 2.8837, 'grad_norm': 0.3809766471385956, 'learning_rate': 1.5422296824520633e-05, 'epoch': 1.24}
{'loss': 2.9138, 'grad_norm': 0.37927165627479553, 'learning_rate': 1.4370598619323705e-05, 'epoch': 1.25}
{'loss': 2.9061, 'grad_norm': 0.36450138688087463, 'learning_rate': 1.3353257961587572e-05, 'epoch': 1.26}
{'loss': 2.9314, 'grad_norm': 0.3941928446292877, 'learning_rate': 1.2370683044402131e-05, 'epoch': 1.27}
{'eval_loss': 2.1275453567504883, 'eval_chrf++': 42.66, 'eval_runtime': 125.2064, 'eval_samples_per_second': 7.963, 'eval_steps_per_second': 0.998, 'epoch': 1.27}
{'loss': 2.9149, 'grad_norm': 0.34427303075790405, 'learning_rate': 1.1423268111611274e-05, 'epoch': 1.28}
{'loss': 2.8927, 'grad_norm': 0.3682158291339874, 'learning_rate': 1.0511393299628359e-05, 'epoch': 1.29}
{'loss': 2.9363, 'grad_norm': 0.3796587586402893, 'learning_rate': 9.635424484912015e-06, 'epoch': 1.3}
{'loss': 2.9452, 'grad_norm': 0.3711009919643402, 'learning_rate': 8.795713137163508e-06, 'epoch': 1.31}
{'loss': 2.901, 'grad_norm': 0.3979851007461548, 'learning_rate': 7.992596178304756e-06, 'epoch': 1.32}
{'loss': 2.923, 'grad_norm': 0.3655516505241394, 'learning_rate': 7.2263958472932435e-06, 'epoch': 1.33}
{'loss': 2.9252, 'grad_norm': 0.3773006796836853, 'learning_rate': 6.497419570828356e-06, 'epoch': 1.34}
{'loss': 2.9066, 'grad_norm': 0.32586830854415894, 'learning_rate': 5.805959840000918e-06, 'epoch': 1.34}
{'loss': 2.9184, 'grad_norm': 0.3468601107597351, 'learning_rate': 5.1522940929353945e-06, 'epoch': 1.35}
{'loss': 2.9124, 'grad_norm': 0.3525250256061554, 'learning_rate': 4.53668460347193e-06, 'epoch': 1.36}
{'eval_loss': 2.1235170364379883, 'eval_chrf++': 42.8856, 'eval_runtime': 122.7327, 'eval_samples_per_second': 8.123, 'eval_steps_per_second': 1.018, 'epoch': 1.36}
{'loss': 2.9076, 'grad_norm': 0.3511298894882202, 'learning_rate': 3.959378375932754e-06, 'epoch': 1.37}
{'loss': 2.8928, 'grad_norm': 0.3679681420326233, 'learning_rate': 3.420607046015356e-06, 'epoch': 1.38}
{'loss': 2.8952, 'grad_norm': 0.37920406460762024, 'learning_rate': 2.920586787851931e-06, 'epoch': 1.39}
{'loss': 2.8799, 'grad_norm': 0.3690469563007355, 'learning_rate': 2.4595182272728277e-06, 'epoch': 1.4}
{'loss': 2.9421, 'grad_norm': 0.39307403564453125, 'learning_rate': 2.0375863613082304e-06, 'epoch': 1.41}
{'loss': 2.9558, 'grad_norm': 0.3716214597225189, 'learning_rate': 1.6549604839608769e-06, 'epoch': 1.42}
{'loss': 2.9444, 'grad_norm': 0.38131067156791687, 'learning_rate': 1.3117941182792415e-06, 'epoch': 1.43}
