Job started on u040233.si.ehu.es
Date: Sun May 10 03:24:43 AM CEST 2026
CUDA_VISIBLE_DEVICES=5
trainable params: 4,718,592 || all params: 619,792,384 || trainable%: 0.7613
{'loss': 2.9594, 'grad_norm': 0.30924707651138306, 'learning_rate': 0.00015093094993686123, 'epoch': 0.55}
{'eval_loss': 2.1785547733306885, 'eval_chrf++': 43.4469, 'eval_runtime': 148.181, 'eval_samples_per_second': 6.728, 'eval_steps_per_second': 0.844, 'epoch': 0.55}
{'loss': 2.9923, 'grad_norm': 0.31641897559165955, 'learning_rate': 0.00014919699602184414, 'epoch': 0.55}
{'loss': 2.9571, 'grad_norm': 0.312622606754303, 'learning_rate': 0.0001474433025302505, 'epoch': 0.56}
{'loss': 2.9178, 'grad_norm': 0.2959787845611572, 'learning_rate': 0.0001456705731059971, 'epoch': 0.57}
{'loss': 2.9789, 'grad_norm': 0.3070712089538574, 'learning_rate': 0.0001438795190308907, 'epoch': 0.58}
{'loss': 2.9686, 'grad_norm': 0.28812333941459656, 'learning_rate': 0.00014207085893923677, 'epoch': 0.59}
{'loss': 2.9537, 'grad_norm': 0.3130366802215576, 'learning_rate': 0.000140245318529498, 'epoch': 0.6}
{'loss': 2.9605, 'grad_norm': 0.31879377365112305, 'learning_rate': 0.00013840363027311822, 'epoch': 0.61}
{'loss': 2.9595, 'grad_norm': 0.32845020294189453, 'learning_rate': 0.00013654653312062916, 'epoch': 0.62}
{'loss': 2.98, 'grad_norm': 0.32513049244880676, 'learning_rate': 0.00013467477220515707, 'epoch': 0.63}
{'loss': 2.9332, 'grad_norm': 0.3208014965057373, 'learning_rate': 0.00013278909854344924, 'epoch': 0.64}
{'eval_loss': 2.1624865531921387, 'eval_chrf++': 41.5065, 'eval_runtime': 169.0691, 'eval_samples_per_second': 5.897, 'eval_steps_per_second': 0.739, 'epoch': 0.64}
{'loss': 2.9605, 'grad_norm': 0.33118772506713867, 'learning_rate': 0.00013089026873453917, 'epoch': 0.65}
{'loss': 2.9785, 'grad_norm': 0.3370625674724579, 'learning_rate': 0.0001289790446561724, 'epoch': 0.65}
{'loss': 2.9568, 'grad_norm': 0.3340859115123749, 'learning_rate': 0.00012705619315911428, 'epoch': 0.66}
{'loss': 2.9759, 'grad_norm': 0.36454471945762634, 'learning_rate': 0.00012512248575946214, 'epoch': 0.67}
{'loss': 2.9848, 'grad_norm': 0.3228846788406372, 'learning_rate': 0.00012317869832908574, 'epoch': 0.68}
{'loss': 2.9616, 'grad_norm': 0.31470122933387756, 'learning_rate': 0.00012122561078432013, 'epoch': 0.69}
{'loss': 2.9585, 'grad_norm': 0.35617882013320923, 'learning_rate': 0.00011926400677303546, 'epoch': 0.7}
{'loss': 2.9756, 'grad_norm': 0.3570828139781952, 'learning_rate': 0.00011729467336020972, 'epoch': 0.71}
{'loss': 2.9294, 'grad_norm': 0.3159295618534088, 'learning_rate': 0.00011531840071213052, 'epoch': 0.72}
{'loss': 2.946, 'grad_norm': 0.3387695848941803, 'learning_rate': 0.00011333598177935231, 'epoch': 0.73}
{'eval_loss': 2.1498806476593018, 'eval_chrf++': 42.399, 'eval_runtime': 183.3732, 'eval_samples_per_second': 5.437, 'eval_steps_per_second': 0.682, 'epoch': 0.73}
{'loss': 2.9861, 'grad_norm': 0.3369961678981781, 'learning_rate': 0.0001113482119785366, 'epoch': 0.74}
{'loss': 2.9595, 'grad_norm': 0.330815851688385, 'learning_rate': 0.0001093558888733025, 'epoch': 0.75}
